Duration,Protocol,SourceIP,DestinationIP,SourcePort,DestinationPort,PacketCount,ByteCount,Label,isf_anomaly,ae_mse,ae_anomaly
24.07774941456343,TCP,192.168.1.239,192.168.1.234,8055,1,827,198244,Attack,1,0.025484876962738774,0
97.2523835323651,ICMP,192.168.1.176,192.168.1.82,63174,687,673,1202973,Normal,0,0.03635065875162737,0
85.84265356551866,TCP,192.168.1.120,192.168.1.113,30873,570,319,984671,Attack,0,0.015245628115987073,0
79.1969912938061,UDP,192.168.1.212,192.168.1.140,4410,683,375,36284,Normal,0,0.010698858817433437,0
34.92801848791397,TCP,192.168.1.17,192.168.1.223,4702,989,465,817463,Normal,0,0.0060588361249475755,0
31.135166433848138,TCP,192.168.1.141,192.168.1.233,49643,328,766,47409,Attack,0,0.017791626922324895,0
22.89652969087636,TCP,192.168.1.86,192.168.1.219,52005,571,361,526498,Attack,0,0.004394711938562697,0
29.76814924256834,UDP,192.168.1.163,192.168.1.238,20260,312,709,1159755,Normal,0,0.014014639417446063,0
65.64680341959848,TCP,192.168.1.235,192.168.1.62,4393,767,105,186558,Attack,0,0.04336043609376539,0
22.845303299081564,TCP,192.168.1.130,192.168.1.183,15310,620,224,560158,Attack,0,0.009485258456174036,0
63.53010870049537,UDP,192.168.1.129,192.168.1.20,32048,610,491,119875,Normal,0,0.013237887762185402,0
9.027575338100258,ICMP,192.168.1.90,192.168.1.23,65017,72,33,852745,Normal,1,0.010786455560965623,0
16.917425869539482,ICMP,192.168.1.255,192.168.1.77,29712,859,254,119942,Normal,0,0.021937644614857026,0
79.03652648104747,UDP,192.168.1.40,192.168.1.110,10135,6,143,378711,Attack,0,0.03340165741652854,0
85.54499163514674,TCP,192.168.1.198,192.168.1.45,58469,447,639,1478921,Attack,0,0.04103864202828063,0
43.12054557053485,ICMP,192.168.1.124,192.168.1.204,53868,667,15,814764,Normal,0,0.023448513465967002,0
59.358007036291205,UDP,192.168.1.79,192.168.1.206,8615,828,958,352053,Attack,0,0.02221490929607662,0
13.61319249567724,ICMP,192.168.1.224,192.168.1.209,45050,91,906,1102961,Normal,0,0.009035330178405993,0
47.62954455454231,ICMP,192.168.1.174,192.168.1.52,22475,40,105,422057,Normal,0,0.04421436363887389,1
0.5628754616562759,ICMP,192.168.1.8,192.168.1.116,40413,300,808,588809,Normal,0,0.010869832793154429,0
8.78620201090996,UDP,192.168.1.120,192.168.1.216,36125,521,615,398001,Normal,0,0.02203120169042607,0
25.146316381757792,TCP,192.168.1.246,192.168.1.233,64751,746,743,755127,Normal,0,0.0172812207462203,0
73.54423400155792,UDP,192.168.1.33,192.168.1.142,13271,776,767,75819,Attack,0,0.010550054683570113,0
78.11039849027794,TCP,192.168.1.168,192.168.1.24,10306,111,802,819088,Attack,0,0.025084241996731642,0
91.52686467578516,ICMP,192.168.1.105,192.168.1.11,34664,31,240,1434220,Normal,0,0.016886973088729974,0
17.900685830323383,TCP,192.168.1.183,192.168.1.127,41171,116,795,660728,Normal,0,0.02311107817097882,0
42.271491561748064,UDP,192.168.1.169,192.168.1.49,32759,757,439,887414,Normal,0,0.01141063123557462,0
60.3943557933089,TCP,192.168.1.202,192.168.1.20,23290,443,775,1365257,Normal,0,0.013208058764709379,0
63.47875202323363,TCP,192.168.1.74,192.168.1.83,26571,877,667,1409057,Attack,0,0.012959545464455829,0
81.61499898321921,UDP,192.168.1.64,192.168.1.110,4201,73,603,607802,Normal,0,0.031254441237729316,0
